CAMEOEVENTCODE	DESCRIPTION DE L'ÉVÉNEMENT
01	FAIRE UNE DÉCLARATION PUBLIQUE
010	Faire une déclaration, non spécifiée ci-dessous
011	Refuser le commentaire
012	Faire un commentaire pessimiste
013	Faire un commentaire optimiste
014	Envisager une option politique
015	Reconnaître ou revendiquer la responsabilité
016	Nier la responsabilité
017	S'engager dans un acte symbolique
018	Faire un commentaire empathique
019	Accord express
02	APPEL
020	Appel, non précisé ci-dessous
021	Appel à la coopération matérielle, non précisé ci-dessous
0211	Appel à la coopération économique
0212	Appel à la coopération militaire
0213	Appel à la coopération judiciaire
0214	Appel au renseignement
022	Appel à la coopération diplomatique, comme le soutien politique
023	Appel à l'aide, non précisé ci-dessous
0231	Appel à l'aide économique
0232	Appel à l'aide militaire
0233	Appel à l'aide humanitaire
0234	Appel à la protection militaire ou au maintien de la paix
024	Appel à une réforme politique, non précisé ci-dessous
0241	Appel au changement de leadership
0242	Appel à un changement de politique
0243	Appel pour les droits
0244	Appel au changement des institutions et du régime
025	Appel au rendement
0251	Appel à l'assouplissement des sanctions administratives
0252	Appel à l'apaisement de la dissidence populaire
0253	Appel à la libération de personnes ou de biens
0254	Appel à l’assouplissement des sanctions économiques, au boycott ou à l’embargo
0255	Appel à un objectif permettant une participation internationale (sans médiation)
0256	Appel à la désescalade de l’engagement militaire
026	Appeler les autres à se rencontrer ou à négocier
027	Faire appel à d’autres pour régler un différend
028	Appeler les autres à s'engager dans ou à accepter la médiation
03	INTENTION EXPRESSE DE COOPÉRER
030	Intention expresse de coopérer, non spécifiée ci-dessous
031	Intention expresse de s'engager dans une coopération matérielle, non spécifiée ci-dessous
0311	Exprimer son intention de coopérer économiquement
0312	Exprimer son intention de coopérer militairement
0313	Intention expresse de coopérer sur des questions judiciaires
0314	Exprimer son intention de coopérer en matière de renseignement
032	Exprimer son intention de fournir une coopération diplomatique telle qu’un soutien politique
033	Intention expresse de fournir une aide matérielle, non spécifiée ci-dessous
0331	Intention expresse de fournir une aide économique
0332	Exprimer son intention de fournir une aide militaire
0333	Exprimer son intention de fournir une aide humanitaire
