SQLDATE,date,Actor1Name,Actor1CountryCode,EventCode,EventLabel,QuadClass,GoldsteinScale,NumMentions,NumArticles,AvgTone,ActionGeo_FullName,ActionGeo_Lat,ActionGeo_Long,SourceDomain,GKG_Themes,GKG_Persons,GKG_Organizations,GKG_Locations,GKG_V2Tone,GKG_SharingImage,GKG_DocId,QuadLabel,IsConflict,IsNegative,MediaWeight,IsNorthBenin,ZoneBenin,DepartementBenin,SourceRegion,GoldsteinNorm,ToneNorm,month,ToneCategory,GoldsteinBin
20250626,2025-06-26,Parti politique,NG,040,Consultation diplomatique,1,1.85,4,3,-0.02,Bohicon,7.1824,2.066,beninwebtv.com,ECONOMY;MILITARY;DIPLOMACY;EDUCATION,,,"Bohicon, Benin","-0.02,0.0,0.02,0.02,1.08,306",,20250626000000-beninwebtv_com-BN-00000,Cooperation verbale,0,1,12,0,Centre,Zou,Benin,0.5925,0.4995,2025-06,Neutre,Neutre
20251119,2025-11-19,Diplomate,BN,170,Coercition,4,-5.68,4,5,-6.03,Bohicon,7.1824,2.066,fraternite.bj,TERRORISM;CORRUPTION;DEVELOPMENT,Abdoulaye Bio Tchane;Macky Sall,ONU;Banque Mondiale,"Bohicon, Benin","-6.03,0.0,6.03,6.03,0.41,647",,20251119000000-fraternite_bj-BN-00001,Conflit materiel,1,1,20,0,Centre,Zou,Benin,0.216,0.3492,2025-11,Tres negatif,Destabilisant
20251107,2025-11-07,Gouvernement,BN,110,Rejet/opposition,3,-5.14,2,4,-5.25,Cotonou,6.3654,2.4183,fraternite.bj,,,,"Cotonou, Benin","-5.25,0.0,5.25,5.25,0.26,400",,20251107000000-fraternite_bj-BN-00002,Conflit verbal,1,1,8,0,Sud,Littoral,Benin,0.243,0.3688,2025-11,Tres negatif,Destabilisant
20250131,2025-01-31,Parti politique,BN,070,Aide/assistance,2,4.25,3,4,1.89,Abomey,7.1856,1.9861,matinlibre.com,PROTEST;HEALTH,Alassane Ouattara,OMS;Banque Mondiale;PNUD,"Abomey, Benin","1.89,1.89,0.0,1.89,1.92,209",https://www.bbc.com/img/default.jpg,20250131000000-matinlibre_com-BN-00003,Cooperation materielle,0,0,12,0,Centre,Zou,Benin,0.7125,0.5472,2025-01,Neutre,Stabilisant
20250307,2025-03-07,ONG,BN,020,Appel action,1,0.26,4,6,-4.18,Parakou,9.337,2.6282,beninwebtv.com,,Mahamadou Issoufou;Macky Sall,,"Parakou, Benin","-4.18,0.0,4.18,4.18,1.79,56",,20250307000000-beninwebtv_com-BN-00004,Cooperation verbale,0,1,24,1,Nord,Borgou,Benin,0.513,0.3955,2025-03,Negatif,Neutre
20250725,2025-07-25,Police,FR,020,Appel action,1,-1.12,6,7,1.8,Porto-Novo,6.4969,2.6289,24haubenin.com,DIPLOMACY;ELECTIONS;ECONOMY,Patrice Talon,Gouvernement Beninois;OMS;Assemblee Nationale,"Porto-Novo, Benin","1.8,1.8,0.0,1.8,0.37,78",https://www.rfi.fr/img/placeholder.jpg,20250725000000-24haubenin_com-BN-00005,Cooperation verbale,0,0,42,0,Sud,Oueme,Benin,0.444,0.545,2025-07,Neutre,Leg. negatif
20250411,2025-04-11,Gouvernement,BN,010,Declaration publique,1,3.46,2,4,1.36,Natitingou,10.3081,1.3784,lanouvelletribune.bj,PROTEST;HEALTH;ELECTIONS,,PNUD;ONU,"Natitingou, Benin","1.36,1.36,0.0,1.36,0.44,693",,20250411000000-lanouvelletribune_bj-BN-00006,Cooperation verbale,0,0,8,1,Nord,Atacora,Benin,0.673,0.534,2025-04,Neutre,Stabilisant
20251116,2025-11-16,Police,BN,140,Refus cooperation,3,-1.85,6,9,-2.93,Cotonou,6.3654,2.4183,apanews.net,TERRORISM;EDUCATION;RELIGION;ECONOMY,,OMS;Assemblee Nationale,"Cotonou, Benin","-2.93,0.0,2.93,2.93,1.92,510",,20251116000000-apanews_net-BN-00007,Conflit verbal,1,1,54,0,Sud,Littoral,Afrique,0.4075,0.4268,2025-11,Negatif,Leg. negatif
20250131,2025-01-31,Parti politique,BN,070,Aide/assistance,2,-1.4,3,9,5.05,Bohicon,7.1824,2.066,rfi.fr,TERRORISM;ENVIRONMENT;RELIGION;DEMOCRACY,Macky Sall,PNUD;Banque Mondiale;OMS,"Bohicon, Benin","5.05,5.05,0.0,5.05,1.99,737",https://www.rfi.fr/img/placeholder.jpg,20250131000000-rfi_fr-BN-00008,Cooperation materielle,0,0,27,0,Centre,Zou,International,0.43,0.6262,2025-01,Tres positif,Leg. negatif
20250710,2025-07-10,Militaire,US,110,Rejet/opposition,3,-9.04,4,7,-6.56,Cotonou,6.3654,2.4183,rfi.fr,EDUCATION;TERRORISM;POLITICAL_VIOLENCE,,ONU,"Cotonou, Benin","-6.56,0.0,6.56,6.56,1.0,485",,20250710000000-rfi_fr-BN-00009,Conflit verbal,1,1,28,0,Sud,Littoral,International,0.048,0.336,2025-07,Tres negatif,Tres destabilisant
